index,eval_sample,Cat,Interesting
0,"2);
  assertThat(events).extracting(""principal"")
  .containsExactlyInAnyOrder(""test-user"", ""other-test-user"");
  }
 
  @Test
  public void findByPrincipalAndType() {
  persistenceAuditEventRepository.save(testUserEvent);
  persistenceAuditEventRepository.save(testOldUserEvent);
 
  testOtherUserEvent.setAuditEventType(testUserEvent.getAuditEventType());
  persistenceAuditEventRepository.save(testOtherUserEvent);
 
  PersistentAuditEvent testUserOtherTypeEvent = new PersistentAuditEvent();
  testUserOtherTypeEvent.setPrincipal(testUserEvent.getPrincipal());
  testUserOtherTypeEvent.setAuditEventType(""test-other-type"");",T,
1,"Package = 4;
  public static final int FontFamily_fontProviderQuery = 5;
  public static final int[] FontFamilyFont = { 0x1010532, 0x1010533, 0x101053f, 0x101056f, 0x1010570, 0x7f0300d7, 0x7f0300df, 0x7f0300e0, 0x7f0300e1, 0x7f030208 };
  public static final int",DI,
2,"ivative Works; within the Source form or
  * documentation, if provided along with the Derivative Works; or,
  * within a display generated by the Derivative Works, if and
  * wherever such third-party notices normally appear. The contents
  * of the NOTICE file are for informational purposes only and
  * do not modify the License. You may add Your own attribution
  * notices within Derivative Works that You distribute, alongside
  * or as an addendum to the NOTICE text from the Work, provided
  * that such additional attribution notices cannot be construed
  * as modifying the License.
  *
  * You may add Your own",L,
3,"JsonIgnore
  public void setSystemInformation(RECORD_TYPE recordType) {
  if (systemInfo == null) {
  systemInfo = new SystemInfo();
  }
  if (recordType == RECORD_TYPE.DELETE) {
  this.systemInfo.setActiveStatus(0);
  } else {
  this.systemInfo.setActiveStatus(1);
  }
  }
 
  @JsonIgnore
  public void setSystemInformation(Integer activeStatus) {
  this.systemInfo.setActiveStatus(activeStatus);
  }
 
  @JsonIgnore
  public String getSystemInformation() {
  String systemInfo = """";
  if (this.systemInfo!= null) {
  systemInfo = systemInfo.toString();
  }
  return systemInfo",C,
4,"USE_HOST_PTR MEM_USE_HOST_PTR} are not set in flags.</li>
  * <li>{@link CL10#CL_MEM_OBJECT_ALLOCATION_FAILURE MEM_OBJECT_ALLOCATION_FAILURE} if there is a failure to allocate memory for buffer object.</li>
  * <li>{@link CL10#CL_OUT_OF_RESOURCES OUT_OF_RESOURCES} if there is a failure to allocate resources required by the OpenCL implementation on the device.</li>
  * <li>{@link CL10#CL_OUT_OF_HOST_MEMORY OUT_OF_HOST_MEMORY} if there is a failure to allocate resources required by the OpenCL",DO,
5,"()).isNull();
  }
 
  @Test
  public void testJWTFilterMissingToken() throws Exception {
  MockHttpServletRequest request = new MockHttpServletRequest();
  request.addHeader(JWTFilter.AUTHORIZATION_HEADER, ""Bearer "");
  request.setRequestURI(""/api/test"");
  MockHttpServletResponse response = new MockHttpServletResponse();
  MockFilterChain filterChain = new MockFilterChain();
  jwtFilter.doFilter(request, response, filterChain);
  assertThat(response.getStatus()).isEqualTo(HttpStatus.OK.value());
  assertThat(SecurityContextHolder.getContext().getAuthentication()).isNull();
  }
 
  @Test
  public void testJWTFilterWrongScheme() throws Exception {
  UsernamePasswordAuthenticationToken authentication = new UsernamePasswordAuthenticationToken(
  ""test-",T,
6,"FAILURE} if there is a failure to allocate memory for buffer object.</li>
  * <li>{@link CL10#CL_OUT_OF_RESOURCES OUT_OF_RESOURCES} if there is a failure to allocate resources required by the OpenCL implementation on the device.</li>
  * <li>{@link CL10#CL_OUT_OF_HOST_MEMORY OUT_OF_HOST_MEMORY} if there is a failure to allocate resources required by the OpenCL implementation on the host.</li>
  * </ul>
  */
  @NativeType(""cl_mem"")
  public static long clCreateBufferWithPropertiesINTEL(@NativeType(""cl_context"") long context, @Nullable @Native",DO,
7,"0x7f010009;
  public static final int abc_tooltip_enter = 0x7f01000a;
  public static final int abc_tooltip_exit = 0x7f01000b;
  public static final int btn_checkbox_to_checked_box_inner_merged_animation = 0x7f01000c;
  public static final int btn_checkbox_to_checked_box_outer_merged_animation = 0x7f01000d;
  public static final int btn_checkbox_to_checked_icon_null_animation = 0x7f010",DI,
8,"InHeadNoscript {
  boolean process(Token t, HtmlTreeBuilder tb) {
  if (t.isDoctype()) {
  tb.error(this);
  } else if (t.isStartTag() && t.asStartTag().name().equals(""html"")) {
  return tb.process(t, InBody);
  } else if (t.isEndTag() && t.asEndTag().name().equals(""noscript"")) {
  tb.pop();
  tb.transition(InHead);
  } else if (isWhitespace(t) || t.isComment() || (t.isStartTag() && StringUtil.in(t.asStartTag().name(),
  """,C,
9,"></tr>
  * </table>
  */
  public static final int actionBarSize=0x7f030003;
  /**
  * Reference to a style for the split Action Bar. This style
  * controls the split component that holds the menu/action
  * buttons. actionBarStyle is still used for the primary
  * bar.
  * <p>May be a reference to another resource, in the form
  * ""<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"" or a theme
  * attribute in the form
  * ""<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"".",DO,
